Apr. 16, 2022   13:14:53
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
Final E (V) = -0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4
2nd E (V) = 0.5
Sens 2 (A/V) = 1e-4


Current 2:


Potential/V, i1/A, i2/A

0.200, 5.557e-4, 2.852e-6
0.199, 5.066e-4, 2.743e-6
0.198, 4.665e-4, 2.622e-6
0.197, 4.311e-4, 2.530e-6
0.196, 3.954e-4, 2.468e-6
0.195, 3.632e-4, 2.388e-6
0.194, 3.395e-4, 2.308e-6
0.193, 3.170e-4, 2.256e-6
0.192, 2.965e-4, 2.199e-6
0.191, 2.792e-4, 2.145e-6
0.190, 2.609e-4, 2.107e-6
0.189, 2.426e-4, 2.072e-6
0.188, 2.266e-4, 2.022e-6
0.187, 2.144e-4, 1.988e-6
0.186, 2.011e-4, 1.959e-6
0.185, 1.877e-4, 1.921e-6
0.184, 1.788e-4, 1.889e-6
0.183, 1.700e-4, 1.862e-6
0.182, 1.599e-4, 1.834e-6
0.181, 1.496e-4, 1.817e-6
0.180, 1.409e-4, 1.796e-6
0.179, 1.327e-4, 1.776e-6
0.178, 1.260e-4, 1.751e-6
0.177, 1.205e-4, 1.728e-6
0.176, 1.138e-4, 1.713e-6
0.175, 1.082e-4, 1.689e-6
0.174, 1.016e-4, 1.679e-6
0.173, 9.485e-5, 1.667e-6
0.172, 8.973e-5, 1.646e-6
0.171, 8.496e-5, 1.634e-6
0.170, 8.008e-5, 1.616e-6
0.169, 7.656e-5, 1.604e-6
0.168, 7.230e-5, 1.595e-6
0.167, 6.787e-5, 1.579e-6
0.166, 6.450e-5, 1.560e-6
0.165, 6.118e-5, 1.558e-6
0.164, 5.747e-5, 1.546e-6
0.163, 5.429e-5, 1.533e-6
0.162, 5.025e-5, 1.526e-6
0.161, 4.763e-5, 1.516e-6
0.160, 4.465e-5, 1.502e-6
0.159, 4.168e-5, 1.495e-6
0.158, 3.817e-5, 1.489e-6
0.157, 3.519e-5, 1.478e-6
0.156, 3.256e-5, 1.468e-6
0.155, 3.000e-5, 1.459e-6
0.154, 2.738e-5, 1.455e-6
0.153, 2.500e-5, 1.446e-6
0.152, 2.264e-5, 1.435e-6
0.151, 2.035e-5, 1.431e-6
0.150, 1.819e-5, 1.426e-6
0.149, 1.612e-5, 1.420e-6
0.148, 1.415e-5, 1.410e-6
0.147, 1.217e-5, 1.402e-6
0.146, 1.028e-5, 1.396e-6
0.145, 8.533e-6, 1.391e-6
0.144, 6.738e-6, 1.388e-6
0.143, 5.071e-6, 1.381e-6
0.142, 3.396e-6, 1.373e-6
0.141, 1.747e-6, 1.365e-6
0.140, 1.495e-7, 1.359e-6
0.139, -1.376e-6, 1.358e-6
0.138, -2.850e-6, 1.353e-6
0.137, -4.261e-6, 1.348e-6
0.136, -5.682e-6, 1.342e-6
0.135, -6.975e-6, 1.335e-6
0.134, -8.325e-6, 1.333e-6
0.133, -9.629e-6, 1.328e-6
0.132, -1.080e-5, 1.322e-6
0.131, -1.200e-5, 1.320e-6
0.130, -1.296e-5, 1.315e-6
0.129, -1.421e-5, 1.312e-6
0.128, -1.529e-5, 1.308e-6
0.127, -1.636e-5, 1.306e-6
0.126, -1.752e-5, 1.302e-6
0.125, -1.848e-5, 1.294e-6
0.124, -1.932e-5, 1.292e-6
0.123, -2.031e-5, 1.289e-6
0.122, -2.139e-5, 1.286e-6
0.121, -2.239e-5, 1.277e-6
0.120, -2.349e-5, 1.273e-6
0.119, -2.442e-5, 1.268e-6
0.118, -2.505e-5, 1.268e-6
0.117, -2.604e-5, 1.267e-6
0.116, -2.657e-5, 1.263e-6
0.115, -2.725e-5, 1.256e-6
0.114, -2.755e-5, 1.255e-6
0.113, -2.883e-5, 1.254e-6
0.112, -2.949e-5, 1.248e-6
0.111, -3.017e-5, 1.247e-6
0.110, -3.110e-5, 1.244e-6
0.109, -3.160e-5, 1.242e-6
0.108, -3.256e-5, 1.237e-6
0.107, -3.308e-5, 1.235e-6
0.106, -3.388e-5, 1.234e-6
0.105, -3.436e-5, 1.228e-6
0.104, -3.513e-5, 1.226e-6
0.103, -3.572e-5, 1.222e-6
0.102, -3.640e-5, 1.218e-6
0.101, -3.689e-5, 1.216e-6
0.100, -3.749e-5, 1.214e-6
0.099, -3.818e-5, 1.209e-6
0.098, -3.794e-5, 1.207e-6
0.097, -3.837e-5, 1.205e-6
0.096, -3.909e-5, 1.203e-6
0.095, -3.981e-5, 1.200e-6
0.094, -4.048e-5, 1.196e-6
0.093, -4.099e-5, 1.194e-6
0.092, -4.121e-5, 1.193e-6
0.091, -4.135e-5, 1.188e-6
0.090, -4.200e-5, 1.189e-6
0.089, -4.219e-5, 1.182e-6
0.088, -4.239e-5, 1.186e-6
0.087, -4.289e-5, 1.185e-6
0.086, -4.301e-5, 1.185e-6
0.085, -4.399e-5, 1.186e-6
0.084, -4.440e-5, 1.179e-6
0.083, -4.494e-5, 1.175e-6
0.082, -4.518e-5, 1.172e-6
0.081, -4.628e-5, 1.172e-6
0.080, -4.662e-5, 1.173e-6
0.079, -4.695e-5, 1.169e-6
0.078, -4.729e-5, 1.168e-6
0.077, -4.740e-5, 1.168e-6
0.076, -4.784e-5, 1.162e-6
0.075, -4.764e-5, 1.163e-6
0.074, -4.823e-5, 1.161e-6
0.073, -4.882e-5, 1.159e-6
0.072, -4.964e-5, 1.157e-6
0.071, -5.006e-5, 1.155e-6
0.070, -5.038e-5, 1.156e-6
0.069, -5.021e-5, 1.152e-6
0.068, -5.067e-5, 1.150e-6
0.067, -5.092e-5, 1.146e-6
0.066, -5.135e-5, 1.147e-6
0.065, -5.133e-5, 1.143e-6
0.064, -5.124e-5, 1.143e-6
0.063, -5.163e-5, 1.142e-6
0.062, -5.172e-5, 1.139e-6
0.061, -5.217e-5, 1.133e-6
0.060, -5.278e-5, 1.139e-6
0.059, -5.306e-5, 1.135e-6
0.058, -5.313e-5, 1.138e-6
0.057, -5.343e-5, 1.135e-6
0.056, -5.330e-5, 1.132e-6
0.055, -5.386e-5, 1.131e-6
0.054, -5.418e-5, 1.129e-6
0.053, -5.470e-5, 1.128e-6
0.052, -5.493e-5, 1.130e-6
0.051, -5.526e-5, 1.125e-6
0.050, -5.481e-5, 1.119e-6
